Artist_ID,Artist,Nationality,Ranking,Followers(in M),Monthly_Listener(in M)
A01,Ed Sheeran,British,3,11.29,83.86
A02,Arjit Singh,Bhartiya,79,81.46,37.07
A03,Billie Eilish,American,30,82.11,54.99
A04,Dua Lipa,Albanian,4,41.27,70.7
A05,Taylor Swift,American,2,77.56,91.76
A06,BTS,South Korean,67,66.4,40.14
A07,The Weeknd,Canadian,1,70.35,106.9
A08,Zayn,British,183,22.67,20.7
A09,Pritam,Bhartiya,96,19.36,30.43
A10,Blackpink,South Korean,241,44.75,23.5
A11,Justin Bieber,Canadian,11,73.88,70.2
A12,Shakira,Columbian,16,31.05,60.61
A13,Rihanna ,Barbadian,7,57.41,70.5
A14,Charlie Puth,British,67,21.14,40.1
A15,Alan Walker,Norwegian,90,39.16,30.2
A16,Himesh Reshamiya,Bhartiya,469,11.5,1.5
A17,Katy Perry,Australia,34,5.6,5.3
A18,Vishal Shekhar,Bhartiya,209,1.5,2.4
A19,PJ Harvey,British,344,5.6,7.13
A20,Rahat Fateh Ali Khan,Pakistan,271,2,1.3
