Song_ID,track_name,artist(s)_name,released_year,in_spotify_playlists ,streams (in M)
S01,Seven (feat. Latto) ,"Latto, Jung Kook",2019,553,12.1
S02,LALA,Myke Towers,2020,1474,11.6
S03,vampire,Olivia Rodrigo,2022,1397,10.1
S04,Cruel Summer,Taylor Swift,2021,7858,21.1
S05,WHERE SHE GOES,Bad Bunny,2018,3133,22
S06,Sprinter,"Dave, Central Cee",2017,2186,15.6
S07,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2019,3090,14.8
S08,Columbia,Quevedo,2021,714,18.7
S09,fukumean,Gunna,2023,1096,17.2
S10,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2022,2953,10
S11,un x100to,"Bad Bunny, Grupo Frontera",2019,2876,19.3
S12,Super Shy,NewJeans,2020,422,27.3
S13,Flowers,Miley Cyrus,2023,12211,21.1
S14,Daylight,David Kushner,2023,3528,20.9
S15,As It Was,Harry Styles,2021,23575,25.1
S16,Kill Bill,SZA,2022,8109,11.6
S17,Cupid - Twin Ver.,Fifty Fifty,2018,2942,10.9
S18,What Was I Made For? ,Billie Eilish,2017,873,30.5
S20,Like Crazy,Jimin,2021,596,36.3
S21,Chore NCR Aale   ,"Paradox, MC SQUARE ",2020,202,18
S22,ON ,BTS,2022,246,99
S23,It's Only A Paper Moon,Ella Fitzgerald ,2023,160,64
S24,Red,Taylor Swift,2021,223,29.6
S25,Believer,Imagine Dragons,2018,890,17.5
S27,Believer,Imagine Dragons,2018,890,16.7
